,Year,Month,level_1,y_test_values,predictions
565,2018,12,Wicker Park,565310,564217
581,2018,12,Logan Square,390211,389007
590,2018,12,Edison Park,360556,360679
591,2018,12,Lake View East,314462,314525
613,2018,12,Oakland,325996,324384
615,2018,12,Chicago Lawn,155604,153826
678,2018,12,Edgewater,236159,235572
698,2018,12,Gage Park,153771,153180
713,2018,12,River West,449259,445294
718,2018,12,South Austin,161195,156818
747,2018,12,Union Ridge,282684,283136
773,2018,12,Old Irving Park,404089,404062
774,2018,12,Brainerd,130338,132389
793,2018,12,Portage Park,290797,290596
798,2018,12,Gladstone Park,308104,307351
829,2018,12,The Gap,369938,371792
875,2018,12,Heart of Chicago,257963,254663
888,2018,12,South Chicago,107879,107922
922,2018,12,Riverdale,61942,62580
931,2018,12,The Robert Taylor Homes,98536,95331
935,2018,12,East Chatham,88192,86947
938,2018,12,Longwood Manor,132984,132808
943,2018,12,Ravenswood,474121,475680
953,2018,12,Vittum Park,204886,203974
978,2018,12,Old Norwood Park,399254,399268
979,2018,12,West Elsdon,192051,191878
989,2018,12,Morgan Park,148799,148444
1060,2018,12,West Lawn,198127,197524
1070,2018,12,Albany Park,319877,320461
1082,2018,12,Fuller Park,101021,100394
1125,2018,12,West Morgan Park,266694,267141
1133,2018,12,Ida B. Wells - Darrow Homes,308205,307223
1193,2018,12,Jackson Park Highlands,512541,516664
1199,2018,12,South Loop,366061,367286
1213,2018,12,South Commons,118149,117718
1249,2018,12,Beverly Woods,216688,213464
0,2019,1,Roscoe Village,746765,748572
87,2019,1,South Old Irving Park,338601,335097
139,2019,1,Brighton Park,180224,179511
149,2019,1,South Loop,365169,364793
161,2019,1,Fulton River District,456675,456332
180,2019,1,Hyde Park,390420,390267
200,2019,1,West De Paul,776034,778548
225,2019,1,Near North,417538,417228
247,2019,1,Ranch Triangle,732030,732879
263,2019,1,Scottsdale,192496,191960
267,2019,1,Peterson Park,369434,367987
314,2019,1,West Loop Gate,343938,343212
330,2019,1,Altgeld Gardens,95171,93990
341,2019,1,Big Oaks,293178,294916
387,2019,1,Calumet Heights,137573,139278
393,2019,1,The Robert Taylor Homes,101571,103710
402,2019,1,Cragin,259053,260913
425,2019,1,Greektown,437630,431836
439,2019,1,South Shore,105092,105742
442,2019,1,Lake Calumet,108685,111577
464,2019,1,Old Town,400594,398231
472,2019,1,South Deering,87868,89855
477,2019,1,Parkview,174209,172656
500,2019,1,Chinatown,332589,334727
514,2019,1,Jackson Park Highlands,504855,506439
517,2019,1,Little Village,146705,147378
559,2019,1,Near West Side,400280,402460
633,2019,1,Bronzeville,248631,249086
645,2019,1,Dunning,259604,261552
649,2019,1,Ukrainian Village,487532,480645
702,2019,1,The Loop,399900,397406
726,2019,1,Tally's Corner,334093,332919
782,2019,1,Edgebrook,448108,448399
804,2019,1,Albany Park,319685,320867
806,2019,1,Stateway Gardens,242896,240712
831,2019,1,Lathrop Homes,579734,577546
860,2019,1,Chatham,142315,143481
897,2019,1,Beverly,338584,340598
969,2019,1,East Hyde Park,238176,237904
990,2019,1,Ida B. Wells - Darrow Homes,307878,307513
998,2019,1,Heart of Italy,251921,247703
1006,2019,1,North Park,333698,332534
1027,2019,1,Belmont Heights,269606,271577
1037,2019,1,Marquette Park,156481,158841
1065,2019,1,Avondale,394698,394463
1085,2019,1,Marynook,155023,156322
1106,2019,1,Cottage Grove Heights,110504,110667
1142,2019,1,Norwood Park West,321381,322223
