,RegionName,variable,value
475,Gold Coast,1997-03,241082.0
476,Irving Park,1997-03,165843.0
477,Scottsdale,1997-03,116430.0
478,West Humboldt Park,1997-03,0.0
479,Lincoln Park,1997-03,243755.0
480,West Garfield Park,1997-03,0.0
481,Ashburn,1997-03,107144.0
482,McKinley Park,1997-03,67865.0
483,Woodlawn,1997-03,91637.0
484,Beverly,1997-03,200341.0
485,Brainerd,1997-03,85803.0
486,Belmont Heights,1997-03,150296.0
487,Belmont Gardens,1997-03,103615.0
488,Wicker Park,1997-03,226637.0
489,Old Irving Park,1997-03,199648.0
490,The Loop,1997-03,179073.0
491,Calumet Heights,1997-03,92334.0
492,Grand Crossing,1997-03,0.0
493,Old Town,1997-03,188280.0
494,Norwood Park East,1997-03,165820.0
495,Washington Park,1997-03,0.0
496,Edison Park,1997-03,184722.0
497,Pilsen,1997-03,177239.0
498,Roscoe Village,1997-03,272123.0
499,Sheffield Neighbors,1997-03,449575.0
500,Wrightwood Neighbors,1997-03,348289.0
501,Wrightwood,1997-03,111434.0
502,Budlong Woods,1997-03,113435.0
503,Burnside,1997-03,52909.0
504,Fernwood,1997-03,0.0
505,Noble Square,1997-03,243868.0
506,Rosemoor,1997-03,81126.0
507,Kenwood,1997-03,194838.0
508,Longwood Manor,1997-03,0.0
509,Schorsch Village,1997-03,160624.0
510,Mayfair,1997-03,157026.0
511,North Mayfair,1997-03,145468.0
512,West Woodlawn,1997-03,0.0
513,Sauganash,1997-03,223152.0
514,East Ukrainian Village,1997-03,196163.0
515,Dunning,1997-03,154825.0
516,Old Town Triangle,1997-03,237825.0
517,Hollywood Park,1997-03,181470.0
518,Kilbourn Park,1997-03,147117.0
519,Norwood Park West,1997-03,173983.0
520,West Loop Gate,1997-03,0.0
521,East Chatham,1997-03,0.0
522,Hegewisch,1997-03,61008.0
523,New Eastside,1997-03,237053.0
524,Lake Calumet,1997-03,0.0
525,North Park,1997-03,178447.0
526,River North,1997-03,180155.0
527,Ukrainian Village,1997-03,185887.0
528,Canaryville,1997-03,129411.0
529,Tri-Taylor,1997-03,110079.0
530,Calumet River,1997-03,0.0
531,Arcadia Terrace,1997-03,179065.0
532,East Hyde Park,1997-03,135561.0
533,Fulton River District,1997-03,194411.0
534,Irving Woods,1997-03,156112.0
535,Union Ridge,1997-03,164120.0
536,Washington Heights,1997-03,0.0
537,Big Oaks,1997-03,193966.0
538,Edgebrook,1997-03,222194.0
539,South Deering,1997-03,55778.0
540,Lincoln Square,1997-03,155061.0
541,Kelvin Park,1997-03,136861.0
542,West Chatham,1997-03,0.0
543,Lathrop Homes,1997-03,310019.0
